canonical,merged_names,sources
ENOWA,ENOWA | ENOWA YUFUIN,official_ryokan_association | jalan_spot_list
由布の宿 きふう,アットホームな宿 由布の宿 きふう | 由布の宿 きふう,jalan_spot_list | official_ryokan_association
エンゼルグランヴィラ由布院（旧ときリゾート由布院別邸）,エンゼルグランヴィラ由布院（旧ときリゾート由布院別邸） | エンゼルグランヴィラ由布院(旧ロングライフリゾート由布院別邸),rakuten_area_list | jalan_spot_list
お宿 開花亭,おやど 開花亭 | お宿 開花亭,jalan_spot_list | official_ryokan_association
おやど 二本の葦束,おやど 二本の葦束 | 限定１日１３組・全室離れ 大露天も貸し切り おやど 二本の葦束,official_ryokan_association | jalan_spot_list
しらたき旅館,しらたき旅館 | 由布院温泉 旅館 しらたき,official_ryokan_association | jalan_spot_list
ひすいの宿 黎明,ひすいの宿 黎明 | 湯布院温泉 ひすいの宿 黎明(れいめい),official_ryokan_association | jalan_spot_list
ペンション木綿恋記,ペンション木綿恋記 | ホテル木綿恋記（ゆふごいき）,official_ryokan_association | jalan_spot_list
由布院温泉 旅館 ほたるの宿 仙洞,ほたるの宿 仙洞（せんどう） | 由布院温泉 旅館 ほたるの宿 仙洞,jalan_spot_list | rakuten_area_list
ゆふいんホテル秀峰館,ゆふいんホテル秀峰館 | 由布院温泉 ゆふいんホテル秀峰館,official_ryokan_association | jalan_spot_list | rakuten_area_list
清孔苑,ゆふいん宿 清孔苑 | 清孔苑,jalan_spot_list | official_ryokan_association
ゆふいん旅庵 和山豊,ゆふいん旅庵 和山豊 | 由布院温泉 ゆふいん 旅庵 和山豊,official_ryokan_association | rakuten_area_list
御宿 八遇來,御宿 八遇來 | 露天風呂付き客室 湯布院 御宿 八遇來（おんじゅく やぐら）,official_ryokan_association | rakuten_area_list | jalan_spot_list
御宿 由府両築,御宿 由府両築 | 大正ロマンの宿 御宿 由府両築,official_ryokan_association | jalan_spot_list
草庵 秋桜,草庵 秋桜 | 草庵 秋桜（そうあん こすもす）,official_ryokan_association | rakuten_area_list | jalan_spot_list
草屋根の宿 龍のひげ,草屋根の宿 龍のひげ | 草屋根の宿 龍のひげ／別邸 ゆむた,official_ryokan_association | jalan_spot_list
湯富里の宿 一壺天,湯富里の宿 一壺天 | 由布院温泉 湯富里の宿 一壷天,official_ryokan_association | jalan_spot_list
湯平温泉 癒しの宿 鷹勝,湯平温泉 癒しの宿 鷹勝 | 癒しの宿 鷹勝,rakuten_area_list | jalan_spot_list
旅籠Hatago 香乃蔵,美食懐石と露天風呂付き離れ宿 旅籠 hatago 香乃蔵 | 旅籠Hatago 香乃蔵,jalan_spot_list | official_ryokan_association
由布院温泉 癒しの里 観布亭,癒しの里 観布亭（かんぷてい） | 由布院温泉 癒しの里 観布亭,jalan_spot_list | rakuten_area_list
柚富の郷 彩岳館,柚富の郷 彩岳館 | 由布岳を身近に感じる -柚富の郷 彩岳館-,official_ryokan_association | rakuten_area_list | jalan_spot_list
由布の癒 友里,由布の癒 友里 | 由布の癒 友里 ～大人2名様限定の全室露天付き離れ宿～,official_ryokan_association | jalan_spot_list
旅荘 牧場の家,由布の里 旅荘 牧場の家 | 旅荘 牧場の家,jalan_spot_list | official_ryokan_association
由布院温泉 朝霧のみえる宿 ゆふいん花由,由布院温泉 朝霧のみえる宿 ゆふいん花由 | 由布岳一望 朝霧のみえる宿 ゆふいん花由,rakuten_area_list | jalan_spot_list
由布岳一望の宿 美星,由布院温泉 由布岳一望の宿 美星〜きらら〜 | 由布岳一望の宿 美星,rakuten_area_list | official_ryokan_association | jalan_spot_list
由布院温泉 和の宿 狭霧亭,由布院温泉 和の宿 狭霧亭 | 和の宿 狭霧亭（さぎりてい）,rakuten_area_list | jalan_spot_list
