sample_no,source,source_subtype,review_id,review_date,stay_date,author,profile,rating,bath_score,language,is_onsen_related,bath_area_tags,matched_keywords,room_or_plan,title,body,source_url,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
1,Jalan,jalan_current,15378549,2026/6/21,,,,,5,ja,True,room_open_air_bath,風呂;露天;半露天;湯;お湯;時間,,満足です,スタッフの丁寧な対応にとても満足しました 天候や飛行機の遅れ等で到着時間が遅れてしまいましたが、とても丁寧に対応していただきました。お若いスタッフの方々でしたがとても気持ち良い対応で、教育が行き届いていることと思います 九州一周をしていると話したら、おすすめの旅行プランを教えてくれたり、会話でも楽しませていただきました お部屋も古めながら趣と清潔感があり、心地よく過ごせました 繁縷というお部屋で、お部屋内の半露天風呂もかけ流しではないものの、湯温の調整もできていいお湯を楽しませていただきました 食事はとても工夫されたもので、量的には少し押さえぎみな感じがありましたが、私たちには丁度良いボリュームでこちらも満足です また泊まりたいと思わせてくれるお宿のひとつとなりました クーポンを使ったのでコスパは高目と思います,https://www.jalan.net/yad397509/kuchikomi/,positive,body_positive,high,body_sentiment_inference_needed
2,Jalan,jalan_current,15344598,2026/6/4,,,,,5,ja,True,room_open_air_bath,温泉;風呂;露天;半露天,,のんびりできました,部屋に半露天風呂があり、好きなタイミングで何度でも温泉を楽しめました。関アジのお造りが付いたプランでしたが、関アジはもちろん他のメニューもとても美味しくいただきました。2食とも部屋食だったのでさらにゆっくり過ごせました。のんびりしたい方にはぴったりだと思います。,https://www.jalan.net/yad397509/kuchikomi/,positive,body_positive,high,body_sentiment_inference_needed
3,Jalan,jalan_current,15334348,2026/5/31,,,,,5,ja,True,room_open_air_bath;private_bath,風呂;露天;半露天;貸切,,満足のいくスタッフの親切さとサービス,スタッフの応対と接客がとても満足しています。部屋で応対された夕食懐石のクオリティがとても満足です。大分特産カボスを入れたハイボールは独特の風味で料理とよく合い、数杯で食べたかったです。 「御形」ルーム庭園の景色も絶品でした。部屋で楽しむ半露天風呂と、貸切風呂で楽しむ休憩は旅館の外に出る必要をなくします。朝食までサービスを受けたら、自然にもっと宿泊したくなります。特に、滞在中の子供の食事や座席などへの配慮がありました。料金は少し高いですが、ジャランのクーポンで補完されます。是非また会いたいです。 （翻訳機に翻訳します。）,https://www.jalan.net/yad397509/kuchikomi/,positive,body_positive,high,body_sentiment_inference_needed
4,Jalan,jalan_current,15223499,2026/4/13,,,,,3,ja,True,private_bath,風呂;予約,,部屋から見える桜が. . .,何度か宿泊してますが、今回は以前泊まった際に仲居さんに見事な桜が部屋から見れますと言われて予約しましたが、周辺は満開でしたが部屋からの桜はまだまだの状況で残念でした。自然のものだから致し方ありません。 夕食はいつも美味しく頂きます。貸し切り風呂もありゆっくり出来ます。 またお世話になります。,https://www.jalan.net/yad397509/kuchikomi/,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
5,Jalan,jalan_current,15213388,2026/4/9,,,,,4,ja,False,,,,夕飯大満足,部屋食でゆっくり食べたり呑んだりできました。これだったら小さい子供がいても安心して過ごせると思います。内容もおしゃれで繊細な料理が多くとても満足でした。さすが関アジは身が締まっており脂がのってとても美味しかったです。,https://www.jalan.net/yad397509/kuchikomi/,positive,body_positive,high,body_sentiment_inference_needed
6,Jalan,jalan_current,15128822,2026/3/2,,,,,5,ja,False,,,,2人でゆっくりしたい方におすすめ,全体的には良かったです ただ彼が食事が足りなくて 夜中お腹すいた～と言ってました。 他の旅館より少なめでした。,https://www.jalan.net/yad397509/kuchikomi/,positive,body_positive,high,body_sentiment_inference_needed
7,Jalan,jalan_current,15102021,2026/2/19,,,,,3,ja,True,room_open_air_bath;private_bath,風呂;露天;半露天;貸切;狭,,貸切り風呂がステキでした。,お部屋に半露天風呂が付いてました。少し狭い感じがしましたがウッドデッキが広いので夏場などは良いのかもしれません。目の前には川があるのですが、その先にマンションがあるので少し人目が気になる感じもしました。,https://www.jalan.net/yad397509/kuchikomi/,mixed,body_negative_with_context,high,body_sentiment_inference_needed
8,Jalan,jalan_current,15056844,2026/1/28,,,,,4,ja,True,room_open_air_bath;private_bath,風呂;露天;半露天;貸切,,部屋食に癒されました,妻の誕生日にお世話になりましたが、朝夕共に部屋食でゆっくり出来ましたし、貸切風呂も部屋の半露天風呂でもゆっくり出来て妻も喜んでいました。,https://www.jalan.net/yad397509/kuchikomi/,positive,body_positive,high,body_sentiment_inference_needed
9,Jalan,jalan_current,15006353,2026/1/5,,,,,3,ja,True,facility_wide,水,,カップル,お部屋、雰囲気は凄く良かった。料理も美味しかったです。 けど横の部屋の人らの声や物音が夜酷く、何も流してないのに排水溝から逆流する音がして、寝付きが悪かった。,https://www.jalan.net/yad397509/kuchikomi/,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
10,Jalan,jalan_current,14975968,2025/12/24,,,,,3,ja,True,room_bath,風呂,,とても静かなひと時を過ごせます。,今回は素泊まりプランを利用しました。 とても静かな宿なので、ゆっくり過ごすなら良いと思います。 お部屋のお風呂は、ちょっと残念でした。 家族風呂は大丈夫です。,https://www.jalan.net/yad397509/kuchikomi/,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
