source_type,platform,review_id,author,review_date,rating,title,body,extra,source_url,onsen_related,signals,raw_file,encoding,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
OTA full review,Rakuten Travel,33123469993630,,2023-08-28,5,,玉葉という部屋を利用しました とても心地良く過ごせました メゾネットタイプで部屋食用の部屋がプライベート空間の階上にあり、「準備ができました」と声がけがあったら階段を上がって食事をし、済んだら電話で連絡をすると片付けていただけるという具合でした 豪華な食事でしたが、上品な量だったので残すことなく楽しめ、美味しかったです 日本酒もいろいろと楽しめるメニューがあり楽しめました 朝食もしっかり郷土料理を取り入れたメニューで残さず食べられました 部屋の露天風呂は丸型でゆっくりと脚を伸ばすということはできませんでしたが湯けむりを見ながら気分よく入れました 洗面所の洗面ボウルが綺麗なデザインでしたが小さかったので周りを随分濡らし妻に叱られました 窓が大きくずっと湯けむりが見え、日の出も見える部屋で明るく、気分が良かったです,plan 【開業１周年】通常より8888円OFF！関あじ・伊勢海老・豊後牛がメインの会席プラン（朝夕お部屋食） | room 【離れ】露天風呂付き和洋室（玉葉／翠葉） | None:5; None:5; None:3; None:5; None:5; None:4; None:5; None:0,https://travel.rakuten.co.jp/HOTEL/183153/review.html,1,room_open_air_bath;small_bath_or_room;food,raw/rakuten/page_2.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123472749400,sasa34298,2025-03-16,5,,評価が高い宿ということで泊まってみましたがとても良かったです お料理と、お風呂が良かったです,plan 【スタンダード】関あじ・伊勢海老・豊後牛！旬の食材を使用した割烹会席プラン(１泊２食／夕食お部屋食) | room 【別館】露天風呂付き和室（葉雫／葉隠） | None:5; None:5; None:4; None:5; None:5; None:5; None:4; None:0,https://travel.rakuten.co.jp/HOTEL/183153/review.html,1,room_open_air_bath;food,raw/rakuten/page_2.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123472826843,アスパラガス5426,2025-01-14,4,,家族5人で宿泊しました。夜ご飯美味しかったです。貸し切り風呂よかったですが脱衣場が狭く家族5人でぎゅうぎゅうでした。部屋も清掃行き届いていました。,plan 【スタンダード】関あじ・伊勢海老・豊後牛！旬の食材を使用した割烹会席プラン(１泊２食／夕食お部屋食) | room 【本館】和室二間（青葉） | None:4; None:4; None:3; None:5; None:5; None:3; None:4; None:0,https://travel.rakuten.co.jp/HOTEL/183153/review.html,1,private_bath;small_bath_or_room;food,raw/rakuten/page_2.html,utf-8,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123469958720,,2023-08-19,4,,部屋の構成がそれぞれ違っていて思っていた部屋が予約出来ていなかった。旅館のホームページで希望の部屋の名前を確認してから予約する事をお勧めします。 食事は大変美味しく、夕食も朝食も申し分ないです。,plan 【開業１周年】通常より3888円OFF！関あじ・伊勢海老・豊後牛がメインの会席プラン（夕食お部屋食） | room 【別館】露天風呂付き和室（葉雫／葉隠） | None:2; None:5; None:3; None:5; None:5; None:4; None:5; None:0,https://travel.rakuten.co.jp/HOTEL/183153/review.html,1,room_open_air_bath;food,raw/rakuten/page_2.html,utf-8,positive,rating_positive_signal,medium,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123472480685,"S,KEN",2025-02-03,3,,食事は、美味しかったが、残念ながら”建物が道路から分り難く特に駐車場が道路より引っ込んでいる為、分り難かった。＊駐車場から建物入り口への案内図も無く分り難かった。 又、部屋のつくりも①居間は、地下、②食事場所（部屋食）は中二階といずれも階段で移動することになっており、非常に不便であった。,plan 【スタンダード】関あじ・伊勢海老・豊後牛！旬の食材を使用した割烹会席プラン(１泊２食／朝夕お部屋食) | room 【離れ】露天風呂付き和洋室（玉葉／翠葉） | None:3; None:3; None:3; None:4; None:4; None:3; None:3; None:0,https://travel.rakuten.co.jp/HOTEL/183153/review.html,1,room_open_air_bath;food;access,raw/rakuten/page_2.html,utf-8,mixed,body_negative_with_context,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123469284331,,2023-04-30,5,,少し駐車場の場所がわかりにくかったですが、地獄巡りに近く立地はとても良いと思いました。また、とても良くサービスしていただきました。1歳の息子を連れての旅行でしたが、夕食も朝食も個室状態でゆっくり堪能することができました。お料理はどれも美味しくて感動しました。部屋の露天風呂も気持ちよかったです。ありがとうございました。,plan 【開業１周年】通常より3888円OFF！関あじ・伊勢海老・豊後牛がメインの会席プラン（夕食お部屋食） | room 【別館】露天風呂付き和室（葉雫／葉隠） | None:4; None:5; None:5; None:5; None:5; None:4; None:5; None:0,https://travel.rakuten.co.jp/HOTEL/183153/review.html,1,room_open_air_bath;food;access,raw/rakuten/page_2.html,utf-8,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123468977128,takayan226,2023-03-04,5,,2023.2.25宿泊しました。こちらの旅館に決めたポイントは部屋に温泉が付いてる事がポイントでした。温泉も自分の好みの温度に合わせて入浴出来るので私は少しぬるめの温度でゆっくり浸かる事が出来ました。夕食も、豊後牛と関アジには本当に感動でした（≧∇≦）そして、特に公開してなかった結婚記念日で旅行の話も若女将さんのお話が上手でつい話した事でしたが、女将さんのおもてなしで日本酒のサービスを頂きました。嬉しかったです♪ 朝食の女将さんこだわりのアジの開きは絶品でした。 是非ゆっくりしてほしいと言う女将さんのおもてなしで急遽部屋食にして頂きました♪ また、次回もこの温泉八葉さんに泊まりに行きます。,plan 【開業１周年】通常より3888円OFF！関あじ・伊勢海老・豊後牛がメインの会席プラン（夕食お部屋食） | room 【別館】露天風呂付き和室（葉雫／葉隠） | None:5; None:5; None:5; None:5; None:5; None:5; None:5; None:0,https://travel.rakuten.co.jp/HOTEL/183153/review.html,1,room_open_air_bath;food,raw/rakuten/page_2.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123468884028,hanshinjiji1985,2023-02-14,5,,お部屋は玄関から上下に部屋があり、上の部屋で食事広い窓から夜景と湯けむりが見えました。 下の階にベッドルーム露天風呂があり秘密基地に降りて行くようでワクワクしました。 食事は味良し見た目良しで最高です。 スタッフさんも温かくもてなして下さり良かったです。 旅館の徒歩圏内に地獄めぐりがあり、観光にも便利です。 帰りに温泉たまごのお土産が嬉しかった です。,plan 【開業１周年】通常より8888円OFF！関あじ・伊勢海老・豊後牛がメインの会席プラン（朝夕お部屋食） | room 【離れ】露天風呂付き和洋室（玉葉／翠葉） | None:5; None:5; None:5; None:5; None:5; None:5; None:5; None:0,https://travel.rakuten.co.jp/HOTEL/183153/review.html,1,room_open_air_bath;food;access,raw/rakuten/page_2.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123468773515,yutakapapa1965,2023-02-08,5,,2月7日から妻と１拍の旅行で利用させていただきました。部屋はメゾネットタイプで二人には丁度よいは広さでゆっくりとくつろげまさた。部屋風呂の温泉も好みの温度に調整が出来、眺望も良く快適でした。夕食を楽しみにしていましたが、期待以上のお料理の数々、関あじ、豊後牛もちろん朝食はだんごじるなど地元の食材を十分味わって楽しませていただきました。夕食での女将さんと妻との会話、時が経つのをわすれるほど話が弾み大変楽しい時間を過ごさせていただきました。ありがとうございました。,plan 【冬春旅セール】関あじ・伊勢海老・豊後牛！旬の食材を使用した割烹会席プラン(１泊２食／朝夕お部屋食) | room 【離れ】露天風呂付き和洋室（玉葉／翠葉） | None:5; None:5; None:5; None:5; None:5; None:5; None:4; None:0,https://travel.rakuten.co.jp/HOTEL/183153/review.html,1,room_open_air_bath;room_bath;food,raw/rakuten/page_2.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123461531864,,2022-11-02,5,,10月26日に宿泊しました。 家族で宿泊し足の悪い母親も一緒だったのですが座椅子から直ぐに椅子とテーブルに変えて頂き助かりました。食事もどれも大変美味しくミルつきのコーヒーメーカーが備えてありコーヒー豆もあり挽きたてのコーヒーが飲めたのが嬉しかったです。 それから何と言っても部屋のお風呂が良くて3人で入っても充分な広さがあり今まで露天風呂付きの部屋に何度か宿泊しましたが1番良かったと思います。 また是非利用したいと思いました。,plan 【開業１周年】通常より3888円OFF！関あじ・伊勢海老・豊後牛がメインの会席プラン（夕食お部屋食） | room 【別館】露天風呂付き和室（葉雫／葉隠） | None:3; None:5; None:3; None:5; None:5; None:5; None:5; None:0,https://travel.rakuten.co.jp/HOTEL/183153/review.html,1,room_open_air_bath;room_bath;food,raw/rakuten/page_2.html,utf-8,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
