sample_no,review_id,platform,source_url,review_date,stay_date,language,rating,reviewer,room_or_plan,title,body_excerpt,bath_area_tags,keyword_tags,onsen_related,sample_layer,body_hash,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
1,jalan_01_010,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/7/5,,ja,,,,部屋付き露天風呂が最高！,お部屋の露天風呂は 別府湾が一望でき最高でした。何度も入浴してしまいました。チェックアウトの時間が12時から11時に変更になってて慌てました。予約時と前日の最終確認メールでは12時のままで。12時でスケジュールを組んでたので残念でした。ホテル側の変更の場合は ホテルから予約者に連絡すべきでは？その点がマイナスです。,room_open_air_bath,booking_confusion|open_air_public_bath|room_open_air_bath|view,true,jalan_latest,2d85fe809a89,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
2,jalan_01_020,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/7/3,,ja,,,,結婚記念日,星野リゾート界ということで、半年前から予約して期待しすぎました。 久しぶりの旅行だったので、露天風呂付の部屋にしたのですが、露天風呂にゴミみたいなのが浮いてたり、横を見るとクモの巣が張ってました。見ただけで入りたくなくなりました。大浴場はとても綺麗でゆっくり浸かれました。 部屋についてる洗面所のコンセントは外れかかってるし‥‥何かガッカリでした。 でも料理は,public_bath|room_open_air_bath,booking_confusion|cleaning_or_maintenance|open_air_public_bath|public_bath|room_open_air_bath,true,jalan_latest,24a1cfbd404f,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
3,jalan_01_030,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/7/2,,ja,,,,おもてなしの気持ちを感じられました,従業員の方全員、とても感じが良かったです。 チェックインの時はロビーのような所でチェックインし、そこでいつでも飲み物が飲めるのがとても良かったです。 ただチェックイン時に部屋まで荷物を運んだり等がないにせよ、せめて同じフロアのエレベーター前まで送る等あればもっと嬉しいのになと思いました。 チェックイン後に館内を家族で散策した時に、女性風呂を探して迷子になりま,public_bath,cleaning_or_maintenance|public_bath|view,true,jalan_latest,7b3afb1fc6fc,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
4,jalan_01_040,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/7/1,,ja,,,,初めての星野リゾート,色々意味がある今回の家族旅行でいつも気になった所が星野リゾートでした。子供達が久しぶりに 別府へ行きたいと言ってたのでじゃらんで検索したらお得なキャンペーンで星野リゾートが出たので予約しました。施設、温泉、食事、職員の優しさ、イベントなどやっぱり家族みんな大満足でした。家族みんな良い思い出になった星野リゾート、ありがとうございます。また是非ご利用します…,facility_wide,booking_confusion,true,jalan_latest,dbb5ece8ccfe,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
5,jalan_01_050,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/6/30,,ja,,,,満足。,70を超える母と叔母達を連れて行きました。 温泉、食事共に満足してくれたようです。 個人的には立地的に露天風呂は難しいですよね。 といったところかなと思いました。,open_air_public_bath,open_air_public_bath,true,jalan_latest,b6b508793ec2,positive,body_positive,high,body_sentiment_inference_needed
6,jalan_01_060,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/6/26,,ja,,,,期待してたほどではなかったかなぁ,初の星野リゾート界。 お部屋はとても綺麗で満足でした。 食事も美味しかった…けど朝夕食共に何かが足りない。。コレ！といったインパクトと凄い！絶品！というのがなかったのと量が少し少なめに感じました。 スタッフさん達の接客おもてなし･笑顔はとても素敵でした。 ただ…電話が3日前からかけても全く繋がらない…保留中は有料なんですか？5分以上待っても繋がらなかったので,unclear,booking_confusion,false,jalan_latest,fb3730f01c21,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
7,jalan_01_070,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/6/24,,ja,,,,とにかくホテルから見える景色が素敵でした,館内には足湯やフリースペース、夜にはお祭りが開催されるなどホテル内での時間を有意義に過ごすことができました 外を出ると海が一望できる芝生を散歩しながら夕陽を見ることができました。ロケーションが最高です 個人的には食事会場が素敵な空間でお気に入りです お料理一つ一つが美味しく朝食も忘れられないです,facility_wide,booking_confusion|footbath|view,true,jalan_latest,d51516e06619,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
8,jalan_01_080,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/6/21,,ja,,,,リラックスできました。ありがとうございます。,駐車場から従業員の方が待ち受けて下さり、ホスピタリティの素晴らしさを感じました。イギリスから帰国した友達とこのホテルで落ち合って良いひとときが過ごせました。24時間使えるライブラリー兼カフェラウンジは最高でした。早朝5時にお風呂に行ったら未だ空いてなかったり、困った時にフロントに従業員さんがいなかったのは若干不便でした。ゴミがたまに落ちていた時も気づいてサッ,facility_wide,access|booking_confusion|cleaning_or_maintenance,true,jalan_latest,a41a1f087e73,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
9,jalan_01_093,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/6/17,,ja,,,,育児お休み旅行,３人とも毎日子育てに追われているため、たまにはのんびりしたく、育児休暇旅行で友達３人で利用させてもらったのですが、 本当にのんびりできすぐ海が見えて幸せな時間でした！！ また是非いきたいです！,unclear,booking_confusion|view,false,jalan_latest,f195622ecd1c,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
10,jalan_01_106,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/6/16,,ja,,,,料理だけが残念！,星野リゾートということで期待して宿泊したのですが、１番楽しみにしていた料理で、特に刺身の醤油が甘すぎたことが残念でした。大分の醤油が甘いのは有名かもしれませんが、せめて選べるように、両方用意していただきたかったです。関東の醤油に親しんできた者には、食べるのが苦痛なほどでした。,unclear,,false,jalan_latest,29131404a29b,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
11,jalan_01_119,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/6/7,,ja,,,,お風呂がちょっと…,家族旅行でお世話になりました。 部屋は眺めが良く清潔でした。 楽しみにしていたお風呂ですが、熱すぎる湯とぬるすぎる湯で皆さんぬるい湯にはいるのでゆっくり出来ませんでした。 私が確認不足だったのすが、2人組がお風呂に入ってきたのでビックリしましたし良い気持ちはしませんでした。,facility_wide,cleaning_or_maintenance|view,true,jalan_latest,1c7fc344fb7b,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
12,jalan_01_132,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/6/6,,ja,,,,ゆっくり過ごせました！,お庭を眺めながらの食事は、素敵でした。お料理の提供されるタイミングも良かったです。強いて言うなら、朝食の品数がもうちょっとあると嬉しかったかな？,unclear,view,false,jalan_latest,e1691ce2e5d2,positive,body_positive,high,body_sentiment_inference_needed
13,jalan_01_145,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/6/2,,ja,,,,ロケーションが最高でした,お部屋からの別府湾越しの大分市内の夜景がとてもきれいで、それを見ながら部屋風呂に入るのが至福の時間でした！ 朝の海岸線を散歩するのも気持ちよくてとてもいい時間を過ごせました。,room_bath,booking_confusion|room_bath|view,true,jalan_latest,3ee62b29230a,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
14,jalan_01_158,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/6/2,,ja,,,,ゆっくり大人旅にお勧めです。,親子で久しぶりの旅行でお世話になりました。 その日は満室でしたが、お風呂が混雑する事もなく本当に満室？と思うような快適さでした。 朝食の時間は希望を取らず施設側が決めた時間なので、予定がある方は事前に施設側へその旨伝えておいた方がいいと思いました。 部屋でチェックインでき、ロビーでチェックイン待ちなどせずすぐにお部屋に上がれて良かったです。 子供が遊べるよう,facility_wide,booking_confusion|crowding,true,jalan_latest,2b67a7daaea2,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
15,jalan_01_171,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/5/25,,ja,,,,記念日におすすめ,母の誕生日旅行に利用しました。誕生日のことを当日に伝えたにもかかわらず夕食時に甘味でおめでとうプレートを用意してもらったり、無料の写真付きアルバムまで頂き最高のおもてなしでした。素敵な誕生日旅行になりました。ありがとうございました！,unclear,,false,jalan_latest,38d4d154713c,positive,body_positive,high,body_sentiment_inference_needed
16,jalan_01_184,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/5/24,,ja,,,,安心して利用できる、バランスの良い宿,チェーンホテルらしく、全体的に安定感があり、安心して滞在することができました。建物や設備には少し昔ながらの雰囲気もありますが、清潔に保たれており、不便なく過ごせました。 お部屋やお風呂も落ち着いて利用でき、スタッフの方々の対応も丁寧で好印象でした。お食事については特別感というより、気軽に楽しめる内容でしたが、滞在全体としては満足しています。 このエリアで気軽,facility_wide,cleaning_or_maintenance,true,jalan_latest,40de63791955,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
17,jalan_01_197,Jalan,https://www.jalan.net/yad352850/kuchikomi/,2026/5/23,,ja,,,,部屋から見る朝日の昇るとこ 最高に綺麗だった,星野リゾート 界 別府 一人旅でしたが最高に良かったです。お部屋は畳の上にベッドがあり、落ち着きがあり大きな窓から海が見えて最高の綺麗な眺めでした。夕食はここに区切られていて 静かに落ち着いた雰囲気で和食をいただきましたお刺身も 6種類 ついていて 海鮮 お鍋 海鮮 竈門炊きご飯 次々と運ばれてくるのでお腹いっぱいで食べられないくらいです。露天風呂もあり 内,open_air_public_bath,crowding|footbath|open_air_public_bath|view,true,jalan_latest,be0423fef73f,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
