sample_no,source,source_subtype,review_id,review_date,stay_date,author,profile,rating,bath_score,language,is_onsen_related,bath_area_tags,matched_keywords,room_or_plan,title,body,source_url,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
1,Jalan,jalan_current,15391325,2026/6/28,,,,,3,ja,True,room_bath,内湯;湯;工事,,その名のとおり割烹旅館という感じです。,夕食はお刺身と和牛が美味しかったです。そこそこ豪華でボリュームもありました。朝食は地獄蒸しを模してか、せいろ蒸しまで出てきてお腹がいっぱいになりました。 ただ、お部屋は内湯を含めてそろそろリニューアルが必要なのではと思います。隣の敷地で工事をしていたので防犯面も気になりました。,https://www.jalan.net/yad324134/kuchikomi/,mixed,body_negative_with_context,high,body_sentiment_inference_needed
2,Jalan,jalan_current,15367984,2026/6/15,,,,,1,ja,True,facility_wide,風呂;湯;予約,,評価を参考に宿泊したのですが…,予約時間ぴったりに 駐車場に着きました、お出迎えもなく荷物を持って フロントへ、誰もいなく、探したり声かけたりして やっと係の方が出てこられましたが、 ご挨拶もたしてなく、部屋までの案内の時も 荷物持ちましょうかの一言も無しでびっくりでした、 夕飯は部屋食なので ゆっくりできました、お刺身などは美味しかったのですが ウニが外国産で匂いと味がきつかったです 内風呂と外風呂の間に2ケ所ガラス戸があるのですが ほかの方も書かれてましたが、 ガラスが湯垢で真っ白で 不衛生でした、 朝食も部屋食なのでゆっくり頂けましたが 参考例の朝食写真とは程遠く ご飯のおかずになるようなものがなく お漬物や卵などもなく 朝食は美味しくなくがっかりでした,https://www.jalan.net/yad324134/kuchikomi/,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
3,Jalan,jalan_current,15327100,2026/5/27,,,,,5,ja,True,room_bath,風呂;源泉;掛け流;予約,,部屋食と部屋風呂が最高！,部屋での、源泉掛け流し風呂が気持ち良かったです。部屋食が魅力で予約しましたが、落ち着いて食べられたのはとても良かったです。,https://www.jalan.net/yad324134/kuchikomi/,positive,body_positive,high,body_sentiment_inference_needed
4,Jalan,jalan_current,15304117,2026/5/17,,,,,3,ja,True,room_bath,温泉;風呂;熱;水;予約,,料理が残念,今回、口コミと宿の料理、部屋、風呂など写真で拝見してお世話になりました。部屋については畳が沈んでいる為か敷居に足を何度かぶつけました。料理を運んでくる係の方もつまずいていました。料理は当初予約を決めた時には高評価でしたが、予定日が近くなった頃に確認してみると、低い評価が続いていたので心配になりましたが、やはり私も同じ結果となりました。特に旅館の朝食と言えばご飯が進んでお代わりしたくなりますが、今回出されたおかずではご飯が進みませんでした。ハイクラスと言われる宿の朝食とはとても信じられない物でした。部屋のお風呂はかなり熱く、かなり水を入れないと入れませんでした。 総評としては、宿の1番の楽しみは料理、温泉なのでせめて料理だけでも満足したかったです。,https://www.jalan.net/yad324134/kuchikomi/,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
5,Jalan,jalan_current,15230120,2026/4/17,,,,,4,ja,True,private_bath,風呂;貸切,,料理がやや不満,店構え、お部屋、お風呂【貸切風呂、部屋の風呂】、サービスとも、とてもよかった。ただし、お料理にはがっかりした。夕食の全体的食材、一部お料理の味付け【蛤のお吸いもの等】 残念この上ない。今後の改善に期待したい！,https://www.jalan.net/yad324134/kuchikomi/,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
6,Jalan,jalan_current,15229723,2026/4/17,,,,,2,ja,True,room_bath;family_bath,風呂;湯;水;蚊,,ご飯は美味しいけど、、、,今回初めての利用でした。 口コミを事前にみていたので何となく想像はついてましたが、お部屋や水回りに経年を感じました。 特に部屋風呂のシャワーホルダー部分の木材が朽ちており今にもはずれそうでした、、、。 また、部屋周りに緑が多かったこともあるためか蚊や羽がついた大きい蟻が部屋の畳に何匹もいたりと0歳児を連れての宿泊だったので刺されないか不安でした(>_<) しかし、食事はとても美味しくお腹いっぱいになり赤ちゃん連れにも優しい対応をしていただき感謝しています！ 家族湯はとても清潔感があり素敵でした！！,https://www.jalan.net/yad324134/kuchikomi/,negative,low_rating_negative_body,high,body_sentiment_inference_needed
7,Jalan,jalan_current,15204220,2026/4/5,,,,,4,ja,True,facility_wide,温泉;風呂;露天,,大満足でした。,御料理、スタッフの方々の丁寧な接客に大満足のお宿でした。 設備等はやや古さを感じる部分もありましたが、滞在中は露天風呂や部屋から見える景色など、温泉で体を癒すとともに、心も癒されました。 木々の季節毎の変化も楽しみに、また違う季節に 伺いたいです。,https://www.jalan.net/yad324134/kuchikomi/,positive,body_positive,high,body_sentiment_inference_needed
8,Jalan,jalan_current,15185520,2026/3/28,,,,,4,ja,True,family_bath,温泉;風呂;湯;源泉;熱;家族風呂;予約,,さすが割烹旅館♪,チェックインより早めの到着にも関わらず、笑顔で案内していただき助かりました。提供されたお茶菓子も他処より高級感がありとても美味しかったです。 ただ、お部屋の内部をもう少し詳しく案内してもらえたら良かったかな。肝心の内風呂について、場所や特徴などの説明はなく、体験して知るかたちでした。部屋は間仕切りが多く、探検気分で場所を確認、楽しみましたが、温泉の意外な熱さには驚きました。湯もみしてできるだけ源泉を楽しみましたが、子どもなど警戒せずに入ると少し怖いかな、と…。 あと、もう少しお風呂場に清潔感が感じられると良いですね。使用中のタオル掛けなども少し多めにあると助かります。（欲を言えば、ドライヤーもランクアップを） お料理はさすがでした！一品一品が独創的で、味も見た目も、香りも食感も全てが素晴らしかったです。それぞれが適温で提供されるため、どれも最高の状態でいただけます。季節に合わせ桜をふんだんに盛り込んだお料理は、春本番を迎えた喜びをみんなで共有している気分にさせてくれました。大分和牛のしゃぶしゃぶも大変おいしかったです！ 全体的に量もちょうど良く、最後までワクワクしながらいただきました。ごちそうさまでした！！ 最後に、家族風呂の利用法については、「空いていたら入れる」ではなく、予約制にするなど、もう少し効率的で公平なガイドを検討する余地があると思います。 お世話になり、ありがとうございました！！,https://www.jalan.net/yad324134/kuchikomi/,positive,body_positive,high,body_sentiment_inference_needed
9,Jalan,jalan_current,15181428,2026/3/25,,,,,5,ja,True,facility_wide,温泉;風呂;浴;掃除,,評価通りのお勧め旅館,今回は急な旅行にも関わらず料理、接客、演出全てにおいて感動を覚える程の旅館でした。 お部屋、建物は少し時代を感じますが、それが風情とも感じる事の出来る雰囲気でもあり、お風呂も温泉ならではの雰囲気が感じられる程でした。 掃除は行き届いていますし、バスタオル、フェイスタオルは使いたい放題で入浴毎に新しい物を使用できる配慮でとても嬉しいサービスでした。 価格もリーズナブルでしたし、料理は味付け、量、品数において大満足でした。 接客においてもお出迎えから案内、滞在の説明、特に送迎時には大雨の中、その後の観光にお気遣いをいただきタオルまで準備、提供のサービスまでしていただき本当に感謝、感動しました。 滞在中の飲み物にも冷たい、温かいなど個々に配慮までしてもらえる対応で申し分ない宿でした。 大分別府に利用の際には是非再利用したいと良き旅でした。,https://www.jalan.net/yad324134/kuchikomi/,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
10,Jalan,jalan_current,15155979,2026/3/14,,,,,3,ja,True,facility_wide,風呂;汚;狭,,とにかく料理が最高でした。,思ったよりも狭い部屋でした。 お風呂も殺風景でもう少し工夫が欲しいなと思いました。 窓が汚れているのも気になりました。 が、兎にも角にも、料理が最高。 全て美味しく頂きました、ありがとうございました。,https://www.jalan.net/yad324134/kuchikomi/,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
