source_type,platform,review_id,author,review_date,rating,title,body,extra,source_url,onsen_related,signals,raw_file,encoding,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
OTA full review,Rakuten Travel,33123476429703,オオイタバンザイ,2025-12-21,5,和食が美味しい！プロポーズにも最適,和食料理が特別美味しかったです。季節で変わるディナーメニューは季節を感じられました。プロポーズで使わせていただいたが、店員さんの対応一つ一つがとても丁寧で良い日になりました。,plan 【Anniversary】ホールケーキや乾杯ドリンクでお祝い。記念日や誕生日に最適（2食付） | room 半露天風呂付き和洋室２F | None:5; None:5; None:5; None:5; None:5; None:5; None:5; None:5,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath,raw/rakuten/page_2.html,utf-8,positive,rating_positive_signal,medium,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123476285070,jjlove33,2025-12-03,5,,もう何から何まで最高でした。スタッフの方も気さくでとても丁寧に対応して頂き満足する1泊でした。眺めも最高でした。良い結婚記念日になりました,plan 【早期割30】早めの予約で10％OFF。新しい上質な和スタイルをお得に体験（2食付） | room 半露天風呂付き和洋室１F | None:5; None:5; None:5; None:5; None:5; None:5; None:5; None:5,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath;view,raw/rakuten/page_2.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123477658811,ちいかぶと,2026-05-19,4,丁寧な接客で居心地の良い宿,主人の誕生日に利用しました。 宿に行くまでの道が細く場所が分かりにくかったですが、フロントの方が暑い中外に立っていてお出迎えしてくれました。 大変ありがたかったです。 サプライズでお部屋にケーキを持ってきてほしいとメールでお願いしていたのですが、レストランでの夕食後のタイミングに出てきてしまい、話が通っていなくて少し残念でした。しかし、従業員の皆様とても感じが良く丁寧で宿の居心地はよかったです。,plan 【早期割30】早めの予約で10％OFF。新しい上質な和スタイルをお得に体験（2食付） | room 半露天風呂付き和洋室２F | None:4; None:3; None:4; None:4; None:4; None:4; None:4; None:4,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath;temperature_hot;access_road,raw/rakuten/rakuten.html,utf-8,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123478002042,GANGZHI,2026-07-01,4,食事付きで正解、静かな環境でゆっくり過ごせた,夕食、朝食付きコースを予約いたしましたが、周囲に食事や買い物ができる場所がないので、正解でした。場所は分かりにくいですが、その分静かで部屋に篭ってゆっくり過ごすことができました。,plan 【楽天スーパーSALE】【2食付】別府を愉しむ、半露天風呂付客室ステイ。夕食は創作和会席を堪能 | room 半露天風呂付き和洋室１F | None:4; None:4; None:3; None:4; None:4; None:4; None:4; None:4,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath,raw/rakuten/rakuten.html,utf-8,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123477472205,スノーラグーン,2026-04-26,5,お部屋の温泉風呂と絶景に癒される誕生日旅行,お誕生日旅行で行きました。とっても良かったです。部屋に温泉風呂が付いていて、絶景のロケーション。 ご飯も美味しく、サービスも良かったです。 お部屋でゆっくりくつろぎ何度もお風呂に入りました。,plan 【早期割30】早めの予約で10％OFF。新しい上質な和スタイルをお得に体験（2食付） | room 半露天風呂付き和洋室２F | None:5; None:5; None:5; None:5; None:5; None:5; None:5; None:5,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath,raw/rakuten/rakuten.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123477749552,ぽぽちゃぬ,2026-05-31,5,素敵なお部屋と美味しいご飯に大満足,とっても素敵なお部屋でした！ ホテルの前でお迎えもしてくださり、説明なども丁寧でした。 ご飯も美味しく、お腹いっぱいになりました。 また泊まりたいと思います！,plan 【2食付・和牛ステーキコース】夕食は「ガレリア御堂原」でグリルダイニング | room 半露天風呂付き和洋室１F | None:5; None:5; None:5; None:5; None:5; None:5; None:5; None:5,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath,raw/rakuten/rakuten.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123477596325,福岡県ちびめの社会人,2026-05-11,4,温泉と景色が最高でした♨️,温泉も景色も最高でした♨️,plan 【秋冬SALE】【朝食付】別府を感じる、特別なひとときを／客室半露天風呂と和朝食で安らぎを | room 半露天風呂付き和洋室２F | None:5; None:4; None:3; None:0; None:5; None:4; None:4,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath;view,raw/rakuten/rakuten.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123477435163,ドンコドンキー,2026-04-21,4,朝夕食美味、温泉最高、景色も良し,朝食も夕食もとても美味しかったです。 雨でしたが、別府の景色も見れて良かったです。 温泉もゆっくり入れて最高でしたー！,plan 【早期割30】早めの予約で10％OFF。新しい上質な和スタイルをお得に体験（2食付） | room 半露天風呂付き和洋室１F | None:4; None:4; None:4; None:4; None:4; None:4; None:4; None:4,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath;view,raw/rakuten/rakuten.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123477834281,あかる6260,2026-06-11,5,スタッフの気遣いに感謝、また来たい宿,仕事がひと段落しふたりでのんびりと温泉に行きたいと思って利用させていただきました。スタッフの皆さんの気遣いに気待ちよく過ごすことができました。次の機会はお隣の方にも泊まってみたいね！となりました。ありがとうございました！,plan 【秋冬SALE】【素泊まり】お食事なしで気軽に。温泉と自由を満喫する旅／客室半露天風呂付き | room 半露天風呂付き和洋室２F | None:5; None:5; None:5; None:0; None:0; None:5; None:5; None:5,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath,raw/rakuten/rakuten.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123477481586,だい1985,2026-04-27,5,結婚記念日、妻への配慮に感激しました,結婚10年目の記念日で宿泊しました 妻が生物が食べれない事を事前に伝えると色々工夫して頂き感激しました 夕食のレストランのお兄さんのサービスは最高です 幸せな気持ちになりました ホテルに着いてから帰るまでずっと楽しい時間を過ごす事ができ、最高の結婚記念日な になりました ありがとうございます,plan 【Anniversary】ホールケーキや乾杯ドリンクでお祝い。記念日や誕生日に最適（2食付） | room 半露天風呂付き和洋室２F | None:5; None:5; None:5; None:5; None:5; None:5; None:5; None:5,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath,raw/rakuten/rakuten.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123477451052,,2026-04-23,4,景色と温泉は良かった,夫婦旅行で１泊しました。はじめての地区でしたので、途中の細い道にちょっと迷いました。それと膝の悪い高齢者には階段などちょっときつかったです。 ベランダからの見晴らしと温泉は気持ちよかったのですが、焼き魚などの食事はもう少し熱々が食べたかったです。,plan 【早期割30】早めの予約で10％OFF。新しい上質な和スタイルをお得に体験（2食付） | room 半露天風呂付き和洋室２F | None:4; None:5; None:4; None:3; None:4; None:4; None:4; None:4,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath;view;temperature_hot;stairs_layout;access_road,raw/rakuten/rakuten.html,utf-8,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123478026612,なお１１１,2026-07-04,5,食事も美味しく、素敵なひと時を過ごせた,しゃれた素敵なひと時を過ごす事が出来ました。食事も素晴らしいでした。美味しくて珍しいお味を楽しみました。又伺いたいです。,plan 【2食付】別府を愉しむ、半露天風呂付客室ステイ。夕食は創作和会席を堪能 | room 半露天風呂付き和洋室２F | None:5; None:5; None:5; None:5; None:5; None:5; None:5; None:5,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath,raw/rakuten/rakuten.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123477592979,購入者91149917,2026-05-10,5,落ち着く空間と綺麗な景色で癒される,落ち着く空間で景色も綺麗でとても癒されました。館内でちょっとしたゲーム?みたいなのもあり、ご飯までの時間も楽しみながら待ってました。,plan 【2食付】別府を愉しむ、半露天風呂付客室ステイ。夕食は創作和会席を堪能 | room 半露天風呂付き和洋室２F | None:5; None:5; None:5; None:5; None:5; None:5; None:5; None:5,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath;view,raw/rakuten/rakuten.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123477527410,ぱうぱとくん,2026-05-03,5,朝食美味、温泉最高！,朝ご飯がとても美味しかったです。温泉も気持ち良く最高でした！,plan 【秋冬SALE】【朝食付】別府を感じる、特別なひとときを／客室半露天風呂と和朝食で安らぎを | room 半露天風呂付き和洋室１F | None:5; None:5; None:5; None:5; None:5; None:5; None:5,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath,raw/rakuten/rakuten.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123477753436,テリーマン0182,2026-05-31,3,ロケーションは最高、接客も良いが設備に残念な点も,ロケーションがとても良く滞在時は生憎の天気だったのが悔やまれた。部屋も必要十分な広さ。残念だったのは二人での滞在だったが、窓側のソファが１脚しかなかったこと、コーヒーカップと湯呑が何故か１個づつだった？一人滞在用の部屋？かと思ってしまった。また、湯舟がゴツゴツした素材のため特に床面が所々痛く落ち着いて座れなかったこと。テラス用のスリッパもあったらよかった。いろいろ書いたが全体的には接客もよく満足できる宿でした。,plan 【早期割30】早めの予約で10％OFF。新しい上質な和スタイルをお得に体験（2食付） | room 半露天風呂付き和洋室２F | None:2; None:5; None:5; None:4; None:4; None:3; None:4; None:5,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath,raw/rakuten/rakuten.html,utf-8,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123476706324,,2026-01-21,4,眺望の良い宿、接客も丁寧,高台にある眺望のよい宿でした。 欲を言えばもう少し大分市側も見れたらもっと綺麗だろうなーと思いましたが、ガレリアが建ってるので仕方ないかな。 ご飯も美味しかったです。 部屋風呂も暖かくて長風呂してました。 スタッフさんは愛想も良く、丁寧な接客でとても満足です。 また利用させてもらいなーとおもいました。 ありがとうございました。,plan 【早期割30】早めの予約で10％OFF。新しい上質な和スタイルをお得に体験（2食付） | room 半露天風呂付き和洋室２F | None:5; None:5; None:4; None:5; None:4; None:5; None:5; None:5,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath;view,raw/rakuten/rakuten.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123476850953,ハルキング7474,2026-02-10,4,景色とお風呂は最高、従業員の対応も良い,結婚記念日の旅行で宿泊しました。ホテルからは特に何もなかったのですが。 部屋からの景色は最高。部屋のお風呂も温泉で気持ちよかったです。夕飯もお腹いっぱいになり満足でしかたが、値段が高めなのにウェルカムドリンクはなく、オールインクルーシブではなかったのが残念です。 朝食もデザートが付いていなく、コーヒーもラウンジにあるものを部屋で飲みました。けど、従業員さんたちが対応がよく、楽しい思い出になる旅行になりました。,plan 【早期割30】早めの予約で10％OFF。新しい上質な和スタイルをお得に体験（2食付） | room 半露天風呂付き和洋室２F | None:5; None:4; None:5; None:3; None:5; None:5; None:4; None:4,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath;view,raw/rakuten/rakuten.html,utf-8,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123476714140,りょうこ2231,2026-01-22,5,,九州内の同価格帯の温泉宿の中で、こちらが一番オススメです。美味しいお食事、いつでも入れる部屋風呂、きれいな景色、丁寧な対応...揃っている所はめずらしいです。お隣の系列ホテルも同様に良かったです。またお伺いします。,plan 【早期割30】早めの予約で10％OFF。新しい上質な和スタイルをお得に体験（2食付） | room 半露天風呂付き和洋室１F | None:5; None:5; None:5; None:5; None:5; None:5; None:5; None:5,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath;view,raw/rakuten/rakuten.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123476657891,aa旅行大好き,2026-01-14,5,客室露天風呂が最高、料理も美味しい,ご飯はどれも美味しく、客室半露天風呂付きで何度も好きなタイミングでお風呂を独り占めできとてもいいホテルでした。また泊まりたいです。,plan 【早期割30】早めの予約で10％OFF。新しい上質な和スタイルをお得に体験（2食付） | room 半露天風呂付き和洋室２F | None:5; None:5; None:5; None:5; None:5; None:5; None:5; None:5,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath,raw/rakuten/rakuten.html,utf-8,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Rakuten Travel,33123472947552,mitti1978,2025-10-13,5,,とても素敵な宿で、またリピートしてみたいなと思っています お隣のバーもすごいい良い空間でした！ ご飯も美味しく、お腹いっぱいに 欲をいえば、朝食の生卵くらいはわざわざいががですか？有料ですがではなくつけちゃえばいいのにと思いました,plan 【早期割30】早めの予約で10％OFF。新しい上質な和スタイルをお得に体験（2食付） | room 半露天風呂付き和洋室２F | None:4; None:4; None:4; None:4; None:4; None:4; None:4; None:0,https://travel.rakuten.co.jp/HOTEL/151164/review.html,1,room_open_air_bath,raw/rakuten/rakuten.html,utf-8,positive,rating_positive_signal,medium,body_sentiment_inference_needed
