direct_read_sequence,platform,source_url,page_label,review_id,language,review_date,stay_date,rating,bath_rating,room_rating,title,room_or_plan,body_char_count,onsen_related,bath_area_tags,signal_tags,issue_tags,original_keywords_short,short_paraphrase,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
1,Jalan,https://www.jalan.net/yad318558/kuchikomi/,latest,Jalan_latest_1,ja,2026/6/4,2026年4月宿泊,5,5,5,心に残る宿,【季節プラン　3/10～4/30】　お花見プラン,75,yes,facility_wide,water_texture,,お風呂;貸切;風呂,무기질감/피부감/온천감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
2,Jalan,https://www.jalan.net/yad318558/kuchikomi/,latest,Jalan_latest_2,ja,2026/2/13,2026年2月宿泊,5,4,4,とてもよかった,【季節プラン　2/4～3/9】　おひな様プラン,115,yes,room_bath,room_bath_hot_spring;water_texture,,とろり;温泉;湯;美人の湯;肌;部屋の温泉,객실탕/객실 노천탕 맥락 언급; 무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
3,Jalan,https://www.jalan.net/yad318558/kuchikomi/,latest,Jalan_latest_3,ja,2025/9/30,2025年8月宿泊,5,5,4,嬉野武雄エリアで料理、サービス、温泉の三拍子揃って一級品の懐石割烹旅館です！。,【創業120周年記念】謝恩プラン◆露天風呂付きメゾネット客室を特別価格でご案内！,179,yes,facility_wide,water_texture,,お風呂;温泉;貸切;露天;風呂,무기질감/피부감/온천감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
4,Jalan,https://www.jalan.net/yad318558/kuchikomi/,latest,Jalan_latest_4,ja,2025/9/1,2025年8月宿泊,5,5,4,食事がすばらしい,季節プランの料理を１ランクUPした懐石コースを堪能,59,no,unclear,,,,온천 언급 없는 숙박 경험 리뷰.,positive,body_positive,high,issue_caution_calibration_needed
5,Jalan,https://www.jalan.net/yad318558/kuchikomi/,latest,Jalan_latest_5,ja,2025/8/25,2025年6月宿泊,5,5,4,料理がおいしい,【季節プラン　6/1～6/30】ホタル狩りプラン,384,yes,private_bath,private_bath_experience;water_texture,,温泉;貸切;貸切温泉,대절/프라이빗탕 이용 경험 언급; 무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
6,Jalan,https://www.jalan.net/yad318558/kuchikomi/,latest,Jalan_latest_6,ja,2025/7/4,2025年5月宿泊,4,4,4,飲み物の種類が豊富,懐石と伊勢海老のコラボ！伊勢海老プラン,93,yes,facility_wide,water_texture,room_coldness,冷;温泉,무기질감/피부감/온천감 언급; 주의 신호: room_coldness,mixed,body_negative_with_context,high,issue_caution_calibration_needed
7,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_1,ja,2025/3/12,2025年2月宿泊,5,5,5,いい宿でした,【季節プラン　2/4～3/10】　おひな様プラン,52,yes,private_bath,private_bath_experience;water_texture,,温泉;貸し切り;風呂,대절/프라이빗탕 이용 경험 언급; 무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
8,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_2,ja,2025/2/9,2025年2月宿泊,5,4,4,食事が素晴らしい,【季節プラン　2/4～3/10】　おひな様プラン,80,yes,unclear,,,古い,온천/욕장 관련 표현 포함.,positive,body_positive,high,issue_caution_calibration_needed
9,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_3,ja,2025/1/30,2025年1月宿泊,5,4,4,美味しい料理に感謝,【季節プラン　1/1～1/6】お正月プラン,319,yes,public_bath,public_bath_hot_spring;water_texture,stairs_access,お風呂;大浴場;温泉;貸切;階段;風呂,대욕장 유무 또는 대욕장 맥락 언급; 무기질감/피부감/온천감 언급; 주의 신호: stairs_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
10,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_4,ja,2024/8/12,2024年8月宿泊,4,3,3,久々の扇屋さん,【季節プラン　8/1～8/31】風鈴プラン,126,yes,unclear,,stairs_access,階段,주의 신호: stairs_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
11,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_5,ja,2024/7/1,2024年6月宿泊,5,5,5,夫婦旅行,"季節プランの料理を１ランクUPした懐石コースを堪能 
 和洋室",72,yes,facility_wide,water_texture,,露天;風呂,무기질감/피부감/온천감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
12,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_6,ja,2024/3/13,2024年3月宿泊,5,5,5,おもてなしも最高,季節プランの料理を１ランクUPした懐石コースを堪能 ／夕・朝 ともにお部屋食,143,yes,private_bath,private_bath_experience;water_texture,,湯;貸切;貸切風呂;風呂,대절/프라이빗탕 이용 경험 언급; 무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
13,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_7,ja,2023/12/8,2023年11月宿泊,5,5,5,食事が最高,【季節プラン　11/1～11/30】紅葉狩りプラン／夕・朝 ともにお部屋食,153,yes,private_bath,private_bath_experience,,お風呂;貸し切り;風呂,대절/프라이빗탕 이용 경험 언급,positive,body_positive,high,issue_caution_calibration_needed
14,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_8,ja,2023/12/3,2023年11月宿泊,5,4,5,料理の質、量共に充分満足,季節プランの料理を１ランクUPした懐石コースを堪能 ／夕・朝 ともにお部屋食,124,no,unclear,,,,온천 언급 없는 숙박 경험 리뷰.,positive,body_positive,high,issue_caution_calibration_needed
15,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_9,ja,2023/11/8,2023年9月宿泊,5,4,4,懐石料理が最高の宿,懐石と伊勢海老のコラボ！伊勢海老プラン　／夕・朝 ともにお部屋食,89,no,unclear,,,,온천 언급 없는 숙박 경험 리뷰.,positive,body_positive,high,issue_caution_calibration_needed
16,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_10,ja,2023/10/1,2023年9月宿泊,5,5,4,なかなか良かったです,季節プランの中の最上級グルメ懐石コースを堪能 ／夕・朝 ともにお部屋食,438,yes,facility_wide,water_texture,stairs_access;temperature,お風呂;温泉;階段;風呂,"무기질감/피부감/온천감 언급; 주의 신호: stairs_access,temperature",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
17,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_11,ja,2023/9/8,2023年8月宿泊,3,4,2,夫婦旅行,季節プランの中の最上級グルメ懐石コースを堪能 ／夕・朝 ともにお部屋食,90,yes,facility_wide,water_texture,,お風呂;風呂,무기질감/피부감/온천감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
18,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_12,ja,2023/7/23,2023年7月宿泊,4,5,4,レトロな感じが良い,季節プランの中の最上級グルメ懐石コースを堪能 ／夕・朝 ともにお部屋食,462,yes,private_bath,private_bath_experience,,貸切;貸切風呂;風呂,대절/프라이빗탕 이용 경험 언급,positive,body_positive,high,issue_caution_calibration_needed
19,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_13,ja,2023/7/15,2023年7月宿泊,5,5,4,美味しかったです！,【季節プラン　7/1～7/31】　七夕プラン　／夕・朝 ともにお部屋食,634,yes,facility_wide,water_texture,room_coldness,お風呂;冷;風呂,무기질감/피부감/온천감 언급; 주의 신호: room_coldness,mixed,body_negative_with_context,high,issue_caution_calibration_needed
20,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_14,ja,2023/7/7,2023年6月宿泊,5,4,5,大雨でした。,季節プランの中の最上級グルメ懐石コースを堪能 ／夕・朝 ともにお部屋食,63,yes,facility_wide,water_texture,,温泉,무기질감/피부감/온천감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
21,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_15,ja,2023/6/10,2023年6月宿泊,5,4,5,大人の旅行,【季節プラン　6/1～6/30】ホタル狩りプラン／夕・朝 ともにお部屋食,232,yes,facility_wide,water_texture,,湯;風呂,무기질감/피부감/온천감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
22,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_16,ja,2023/3/14,2023年3月宿泊,5,5,5,食事がすばらしい,【季節プラン　2/4～3/14】　おひな様プラン　／夕・朝 ともにお部屋食,299,yes,unclear,,stairs_access,不便;階段,주의 신호: stairs_access,mixed,body_positive_and_negative,high,issue_caution_calibration_needed
23,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_17,ja,2023/3/8,2023年3月宿泊,4,4,4,昔ながらの温泉旅館,【気まま一人旅】～季節プランの料理を１ランクUPした懐石を味わう～ ／夕・朝 ともにお部屋食,362,yes,facility_wide,water_texture,,温泉,무기질감/피부감/온천감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
24,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_18,ja,2023/3/5,2023年3月宿泊,5,5,5,落ち着いた空間、美味しい食事に癒されました,【気まま一人旅】～季節プランの料理を１ランクUPした懐石を味わう～ ／夕・朝 ともにお部屋食,173,yes,facility_wide,water_texture,,お風呂;貸切;風呂,무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
25,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_19,ja,2023/2/26,2023年2月宿泊,5,5,4,とにかく食事が最高！！,揚げたて☆季節の天麩羅をメインにした贅沢懐石プラン　／夕・朝 ともにお部屋食,281,yes,facility_wide,water_texture,,お風呂;貸切;風呂,무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
26,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_20,ja,2023/2/23,2023年2月宿泊,5,4,5,おもてなしが丁寧,季節プランの料理を２ランクUPした懐石コースを堪能 ／夕・朝 ともにお部屋食,120,yes,facility_wide,booking_confusion;water_texture,,温泉;露天;風呂,무기질감/피부감/온천감 언급,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
27,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_21,ja,2023/2/1,2022年12月宿泊,5,5,4,最高のお料理と最高の接客で、最高の思い出となりました!,季節プランの料理を１ランクUPした懐石コースを堪能 ／夕・朝 ともにお部屋食,292,yes,private_bath,private_bath_experience;water_texture,stairs_access,お風呂;温泉;貸切;貸切風呂;階段;露天;風呂,대절/프라이빗탕 이용 경험 언급; 무기질감/피부감/온천감 언급; 주의 신호: stairs_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
28,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_22,ja,2023/2/1,2023年1月宿泊,5,4,4,接客が良かった！,本格懐石＆地元ブランド佐賀牛のステーキ（150ｇ）を存分に堪能するプラン　／夕・朝 ともにお部屋食,169,yes,facility_wide,water_texture,,お風呂;貸切;露天;風呂,무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
