platform,source_url,source_kind,language,review_date,rating,review_id,bath_area_tags,signal_tags,caution_tags,onsen_related,short_paraphrase,original_keywords,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
Jalan,https://www.jalan.net/yad312931/kuchikomi/,direct_fetch_existing_jalan,ja,2026/5/18,5 5,jalan-001,room_open_air_bath;private_bath,room_bath_hot_spring;private_bath_experience,,True,"Jalan ja 표본: 객실 내탕/노천탕 이용 맥락, 프라이빗/대절탕 맥락이 확인됨.",노천탕/露天;내탕/内湯,positive,body_positive,high,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/,direct_fetch_existing_jalan,ja,2026/4/9,5 5,jalan-002,room_open_air_bath;private_bath,room_bath_hot_spring;private_bath_experience,,True,"Jalan ja 표본: 객실 내탕/노천탕 이용 맥락, 프라이빗/대절탕 맥락이 확인됨.",노천탕/露天,positive,body_positive,high,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/,direct_fetch_existing_jalan,ja,2026/1/6,4 4,jalan-003,room_open_air_bath;private_bath,room_bath_hot_spring;private_bath_experience,temperature_access_cleanliness,True,"Jalan ja 표본: 객실 내탕/노천탕 이용 맥락, 프라이빗/대절탕 맥락이 확인됨.",노천탕/露天;온천/温泉;온도/湯加減,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/,direct_fetch_existing_jalan,ja,2025/12/8,5 5,jalan-004,room_open_air_bath,room_bath_hot_spring;booking_confusion,,True,Jalan ja 표본: 객실 내탕/노천탕 이용 맥락이 확인됨.,노천탕/露天;내탕/内湯;온천/温泉,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/,direct_fetch_existing_jalan,ja,2025/10/23,5 5,jalan-005,room_open_air_bath,room_bath_hot_spring;booking_confusion,,True,Jalan ja 표본: 객실 내탕/노천탕 이용 맥락이 확인됨.,노천탕/露天;예약/거리/송영,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/,direct_fetch_existing_jalan,ja,2025/9/23,4 4,jalan-006,room_open_air_bath;private_bath,room_bath_hot_spring;private_bath_experience,,True,"Jalan ja 표본: 객실 내탕/노천탕 이용 맥락, 프라이빗/대절탕 맥락이 확인됨.",노천탕/露天,positive,body_positive,high,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/,direct_fetch_existing_jalan,ja,2025/9/6,5 5,jalan-007,room_open_air_bath,room_bath_hot_spring,,True,Jalan ja 표본: 객실 내탕/노천탕 이용 맥락이 확인됨.,노천탕/露天;온천/温泉,positive,rating_positive_signal,medium,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2025/5/24,3 3,jalan-008,room_open_air_bath,room_bath_hot_spring,temperature_access_cleanliness,True,Jalan ja 표본: 객실 내탕/노천탕 이용 맥락이 확인됨.,노천탕/露天;내탕/内湯;온도/湯加減,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2025/5/22,5 5,jalan-009,room_open_air_bath,room_bath_hot_spring,,True,Jalan ja 표본: 객실 내탕/노천탕 이용 맥락이 확인됨.,노천탕/露天;내탕/内湯,positive,rating_positive_signal,medium,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2025/3/8,5 5,jalan-010,room_open_air_bath,room_bath_hot_spring,temperature_access_cleanliness,True,Jalan ja 표본: 객실 내탕/노천탕 이용 맥락이 확인됨.,노천탕/露天;내탕/内湯;온도/湯加減,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2023/7/15,5 5,jalan-011,room_open_air_bath,room_bath_hot_spring;water_texture;booking_confusion,temperature_access_cleanliness,True,Jalan ja 표본: 객실 내탕/노천탕 이용 맥락이 확인됨.,노천탕/露天;내탕/内湯;온도/湯加減;虫/벌레,mixed,body_negative_with_context,high,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2023/5/7,5 5,jalan-012,room_open_air_bath,room_bath_hot_spring,,True,Jalan ja 표본: 객실 내탕/노천탕 이용 맥락이 확인됨.,노천탕/露天;내탕/内湯;온도/湯加減,positive,rating_positive_signal,medium,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2022/11/1,4 4,jalan-013,room_open_air_bath,room_bath_hot_spring,,True,Jalan ja 표본: 객실 내탕/노천탕 이용 맥락이 확인됨.,노천탕/露天;내탕/内湯;온천/温泉,positive,rating_positive_signal,medium,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2022/9/22,3 3,jalan-014,room_open_air_bath;private_bath,room_bath_hot_spring;private_bath_experience;water_texture,temperature_access_cleanliness,True,"Jalan ja 표본: 객실 내탕/노천탕 이용 맥락, 프라이빗/대절탕 맥락이 확인됨.",노천탕/露天;내탕/内湯;온도/湯加減,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2022/7/23,3 3,jalan-015,room_open_air_bath;private_bath,room_bath_hot_spring;private_bath_experience;water_texture;booking_confusion,,True,"Jalan ja 표본: 객실 내탕/노천탕 이용 맥락, 프라이빗/대절탕 맥락이 확인됨.",노천탕/露天;내탕/内湯;온천/温泉,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2022/6/24,5 5,jalan-016,room_open_air_bath;open_air_public_bath;private_bath,room_bath_hot_spring;public_bath_hot_spring;private_bath_experience;booking_confusion,temperature_access_cleanliness,True,"Jalan ja 표본: 객실 내탕/노천탕 이용 맥락, 프라이빗/대절탕 맥락이 확인됨.",노천탕/露天;내탕/内湯;대욕장/공용;온천/温泉;온도/湯加減;예약/거리/송영,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2022/5/27,3 3,jalan-017,room_open_air_bath,room_bath_hot_spring,,True,Jalan ja 표본: 객실 내탕/노천탕 이용 맥락이 확인됨.,노천탕/露天;내탕/内湯,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2022/5/18,3 3,jalan-018,room_open_air_bath,room_bath_hot_spring,,True,Jalan ja 표본: 객실 내탕/노천탕 이용 맥락이 확인됨.,노천탕/露天;온천/温泉,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2022/3/4,5 5,jalan-019,room_open_air_bath;private_bath,room_bath_hot_spring;private_bath_experience,temperature_access_cleanliness,True,"Jalan ja 표본: 객실 내탕/노천탕 이용 맥락, 프라이빗/대절탕 맥락이 확인됨.",노천탕/露天;내탕/内湯;온천/温泉,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2021/10/16,4 4,jalan-020,room_open_air_bath;private_bath,room_bath_hot_spring;private_bath_experience;crowding;booking_confusion,temperature_access_cleanliness,True,"Jalan ja 표본: 객실 내탕/노천탕 이용 맥락, 프라이빗/대절탕 맥락이 확인됨.",노천탕/露天;내탕/内湯;온천/温泉;온도/湯加減,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2021/5/23,4 4,jalan-021,room_open_air_bath,room_bath_hot_spring,,True,Jalan ja 표본: 객실 내탕/노천탕 이용 맥락이 확인됨.,노천탕/露天;내탕/内湯;온천/温泉,positive,rating_positive_signal,medium,issue_caution_calibration_needed
Jalan,https://www.jalan.net/yad312931/kuchikomi/archive/,direct_fetch_existing_jalan,ja,2021/5/22,5 5,jalan-022,room_open_air_bath,room_bath_hot_spring,,True,Jalan ja 표본: 객실 내탕/노천탕 이용 맥락이 확인됨.,노천탕/露天;내탕/内湯;온천/温泉,positive,rating_positive_signal,medium,issue_caution_calibration_needed
